Tempo_�s,Ciclo_CPU,Referencia_Motor,Vel_Real
8775868.0,45.09,1400.0,1302.0
8804820.0,45.09,1400.0,1302.0
8834012.0,45.09,1400.0,1251.0
8863060.0,45.09,1400.0,1251.0
8892340.0,45.23,1400.0,1234.0
8921300.0,45.23,1400.0,1234.0
8950500.0,45.23,1400.0,1302.0
8979540.0,45.23,1400.0,1302.0
9008820.0,45.29,1400.0,1354.0
9037780.0,45.29,1400.0,1354.0
9066968.0,45.29,1400.0,1217.0
9096020.0,45.29,1400.0,1217.0
9125308.0,45.46,1400.0,1320.0
9154260.0,45.46,1400.0,1320.0
9183452.0,45.46,1400.0,1234.0
9212500.0,45.46,1400.0,1234.0
9241788.0,45.59,1400.0,1302.0
9270740.0,45.59,1400.0,1302.0
9299932.0,45.59,1400.0,1302.0
9328980.0,45.59,1400.0,1302.0
9358256.0,45.64,1400.0,1234.0
9387220.0,45.64,1400.0,1234.0
9416412.0,45.64,1400.0,1337.0
9445460.0,45.64,1400.0,1337.0
9474748.0,45.68,1400.0,1251.0
9503700.0,45.68,1400.0,1251.0
9532892.0,45.68,1400.0,1285.0
9561940.0,45.68,1400.0,1285.0
9591220.0,45.79,1400.0,1371.0
9620180.0,45.79,1400.0,1371.0
9649380.0,45.79,1400.0,1165.0
9678420.0,45.79,1400.0,1165.0
9707704.0,46.01,1400.0,1457.0
9736660.0,46.01,1400.0,1457.0
9765852.0,46.01,1400.0,1114.0
9794900.0,46.01,1400.0,1114.0
9824180.0,46.25,1400.0,1320.0
9853140.0,46.25,1400.0,1320.0
9882328.0,46.25,1400.0,1594.0
9911380.0,46.25,1400.0,1594.0
9940656.0,45.94,1400.0,1131.0
9969620.0,45.94,1400.0,1131.0
9998812.0,45.94,1400.0,1148.0
10027860.0,45.94,1400.0,1148.0
10058176.0,46.29,1400.0,1165.0
10088180.0,46.29,1400.0,1165.0
10118420.0,46.29,1400.0,1182.0
10148500.0,46.29,1400.0,1182.0
10178824.0,46.45,1400.0,1457.0
10208820.0,46.45,1400.0,1457.0
10239056.0,46.45,1400.0,1182.0
10269140.0,46.45,1400.0,1182.0
10299460.0,46.62,1400.0,1182.0
10329460.0,46.62,1400.0,1182.0
10359692.0,46.62,1400.0,1182.0
10389780.0,46.62,1400.0,1182.0
10420100.0,46.79,1400.0,1371.0
10450100.0,46.79,1400.0,1371.0
10480332.0,46.79,1400.0,1182.0
10510420.0,46.79,1400.0,1182.0
10540736.0,46.96,1400.0,1182.0
10570740.0,46.96,1400.0,1182.0
10600972.0,46.96,1400.0,1182.0
10631060.0,46.96,1400.0,1182.0
10661376.0,47.13,1400.0,1182.0
10691380.0,47.13,1400.0,1182.0
10721612.0,47.13,1400.0,1182.0
10751700.0,47.13,1400.0,1182.0
10782020.0,47.3,1400.0,1268.0
10812020.0,47.3,1400.0,1268.0
10842248.0,47.3,1400.0,1542.0
10872340.0,47.3,1400.0,1542.0
10902664.0,47.07,1400.0,1182.0
10932660.0,47.07,1400.0,1182.0
10962892.0,47.07,1400.0,1337.0
10992980.0,47.07,1400.0,1337.0
11023300.0,47.19,1400.0,1302.0
11053300.0,47.19,1400.0,1302.0
11083532.0,47.19,1400.0,1182.0
11113620.0,47.19,1400.0,1182.0
11143944.0,47.41,1400.0,1354.0
11173940.0,47.41,1400.0,1354.0
11204172.0,47.41,1400.0,1474.0
11234260.0,47.41,1400.0,1474.0
11264580.0,47.25,1400.0,1182.0
11294580.0,47.25,1400.0,1182.0
11324812.0,47.25,1400.0,1405.0
11354900.0,47.25,1400.0,1405.0
11385224.0,47.27,1400.0,1268.0
11415220.0,47.27,1400.0,1268.0
11445452.0,47.27,1400.0,1182.0
11475540.0,47.27,1400.0,1182.0
11505872.0,47.52,1400.0,1422.0
11535860.0,47.52,1400.0,1422.0
11566100.0,47.52,1400.0,1302.0
11596180.0,47.52,1400.0,1302.0
11626504.0,47.55,1400.0,1182.0
11656500.0,47.55,1400.0,1182.0
11686732.0,47.55,1400.0,1405.0
11716820.0,47.55,1400.0,1405.0
11747144.0,47.51,1400.0,1354.0
11777140.0,47.51,1400.0,1354.0
11807372.0,47.51,1400.0,1182.0
11837468.0,47.51,1400.0,1182.0
11867776.0,47.76,1400.0,1217.0
11897780.0,47.76,1400.0,1217.0
11928012.0,47.76,1400.0,1405.0
11958100.0,47.76,1400.0,1405.0
11988428.0,47.68,1400.0,1182.0
12018420.0,47.68,1400.0,1182.0
12048652.0,47.68,1400.0,1200.0
12078740.0,47.68,1400.0,1200.0
12109056.0,47.91,1400.0,1662.0
12139060.0,47.91,1400.0,1662.0
12169296.0,47.91,1400.0,1200.0
12199380.0,47.91,1400.0,1200.0
12229700.0,48.06,1400.0,1182.0
12259700.0,48.06,1400.0,1182.0
12289932.0,48.06,1400.0,1542.0
12320020.0,48.06,1400.0,1542.0
12350340.0,47.84,1400.0,1628.0
12380340.0,47.84,1400.0,1628.0
12410572.0,47.84,1400.0,1679.0
12440660.0,47.84,1400.0,1679.0
12470980.0,47.57,1400.0,1182.0
12500980.0,47.57,1400.0,1182.0
12531208.0,47.57,1400.0,1217.0
12561300.0,47.57,1400.0,1217.0
12591620.0,47.87,1400.0,1679.0
12621624.0,47.87,1400.0,1679.0
12651852.0,47.87,1400.0,1182.0
12681940.0,47.87,1400.0,1182.0
