Tempo_µs,Ciclo_CPU,Referencia_Motor,Vel_Real
2779188.0,192.0,1296.0,1285.0
2803900.0,196.0,1414.0,1285.0
2827436.0,196.0,1467.0,1500.0
2851932.0,208.0,1500.0,1285.0
2875452.0,192.0,1478.0,1285.0
2898992.0,192.0,1435.0,1500.0
2923708.0,204.0,1328.0,1500.0
2946084.0,192.0,1232.0,1285.0
2970756.0,192.0,1125.0,1500.0
2994348.0,196.0,1007.0,1285.0
3018792.0,200.0,910.0,1500.0
3042444.0,192.0,803.0,1285.0
3064952.0,192.0,750.0,1285.0
3087420.0,196.0,750.0,1285.0
3111092.0,196.0,792.0,1500.0
3133576.0,192.0,878.0,1285.0
3156068.0,192.0,975.0,1285.0
3179532.0,200.0,1125.0,1285.0
3202088.0,264.0,1232.0,1285.0
3226788.0,208.0,1328.0,1285.0
3250316.0,192.0,1414.0,1285.0
3274812.0,192.0,1467.0,1285.0
3298352.0,192.0,1489.0,1500.0
3323068.0,208.0,1478.0,1500.0
3346596.0,204.0,1435.0,1500.0
3370172.0,196.0,1360.0,1500.0
3394672.0,192.0,1232.0,1500.0
3417172.0,208.0,1125.0,1500.0
3442708.0,192.0,975.0,1500.0
3464372.0,196.0,878.0,1500.0
3487828.0,200.0,803.0,1500.0
3511492.0,204.0,750.0,1500.0
3534008.0,204.0,750.0,1500.0
3556476.0,192.0,792.0,1285.0
3579932.0,200.0,878.0,1500.0
3602624.0,196.0,1007.0,1500.0
3626148.0,212.0,1125.0,1285.0
3650652.0,200.0,1264.0,1285.0
3673220.0,264.0,1360.0,1285.0
3697716.0,192.0,1435.0,1285.0
3722420.0,208.0,1489.0,1500.0
3745948.0,200.0,1489.0,1500.0
3769468.0,192.0,1467.0,1500.0
3794004.0,192.0,1382.0,1500.0
3817524.0,192.0,1296.0,1500.0
3841220.0,196.0,1189.0,1500.0
3865696.0,192.0,1050.0,1500.0
3888340.0,192.0,942.0,1285.0
3912740.0,208.0,825.0,1500.0
3934256.0,268.0,771.0,1500.0
3957900.0,192.0,750.0,1285.0
3981364.0,200.0,760.0,1285.0
4003868.0,192.0,803.0,1285.0
4026556.0,196.0,878.0,1285.0
4049996.0,200.0,1007.0,1500.0
4073532.0,192.0,1125.0,1285.0
4096036.0,192.0,1232.0,1285.0
4121780.0,208.0,1360.0,1285.0
4144316.0,268.0,1435.0,1500.0
4168836.0,192.0,1478.0,1285.0
